id,dob,semster,percentage
3273,2001-12-28,1,99.48
3282,2001-09-23,1,99.44
3283,2001-10-16,1,97.25
3315,2001-06-19,1,95.51
3320,2001-10-31,1,99.37
3340,2001-01-17,1,96.69
3345,2001-10-25,1,95.83
3361,2001-02-20,1,96.72
3383,2001-07-23,1,95.95
3393,2001-11-10,1,97.08
3405,2001-02-22,1,95.8
3445,2001-01-07,1,99.12
3469,2001-02-17,1,98.47
3471,2001-01-12,1,97.3
3473,2001-05-10,1,97.1
3476,2001-07-15,1,97.1
3506,2001-04-08,1,98.59
3517,2001-07-01,1,98.49
3592,2001-01-29,1,97.96
3596,2001-08-22,1,95.91
3636,2001-11-10,1,99.3
3637,2001-05-23,1,97.74
3654,2001-01-28,1,95.8
3655,2001-07-26,1,96.06
3696,2001-07-19,1,95.78
3712,2001-09-19,1,98.44
3716,2001-03-30,1,99.44
3734,2001-01-12,1,98.28
3756,2001-04-29,1,97.01
3760,2001-08-13,1,96.65
3764,2001-05-17,1,95.94
3792,2001-06-23,1,98.1
3808,2001-01-08,1,99.11
3865,2001-01-11,1,95.29
3868,2001-06-22,1,98.86
3944,2001-10-16,1,97.86
3980,2001-08-26,1,97.01
3991,2001-11-19,1,96.99
4036,2001-05-06,1,96.48
4061,2001-02-26,1,95.26
4086,2001-02-13,1,96.44
4097,2001-11-01,1,99.19
4141,2001-02-12,1,99.83
4167,2001-04-11,1,98.26
4181,2001-09-18,1,99.15
4186,2001-02-12,1,96.13
4218,2001-01-24,1,98.04
4220,2001-12-19,1,96.61
4222,2001-01-20,1,95.48
4227,2001-04-22,1,95.58
4261,2001-02-11,1,95.58
4272,2001-01-31,1,96.59
4280,2001-07-06,1,96.82
4294,2001-10-24,1,95.85
4324,2001-04-09,1,96.0
4383,2001-04-18,1,96.58
4387,2001-02-20,1,99.49
4423,2001-12-31,1,97.89
4491,2001-05-31,1,99.25
4560,2001-07-17,1,98.75
4572,2001-09-03,1,97.74
4578,2001-12-23,1,96.12
4624,2001-04-10,1,99.5
4645,2001-05-17,1,95.37
4648,2001-02-01,1,98.02
4658,2001-04-04,1,96.0
4668,2001-03-02,1,97.92
4681,2001-05-18,1,99.26
4724,2001-07-23,1,99.51
4764,2001-11-07,1,96.73
4772,2001-03-22,1,98.26
4790,2001-04-12,1,95.47
4803,2001-06-25,1,95.08
4830,2001-03-06,1,99.86
4872,2001-08-14,1,98.18
4880,2001-10-03,1,98.21
4942,2001-09-23,1,98.93
5029,2001-06-14,1,96.91
5082,2001-09-18,1,98.21
5101,2001-11-07,1,99.77
5122,2001-09-14,1,95.48
5131,2001-04-03,1,96.06
5165,2001-01-29,1,96.65
5191,2001-05-30,1,96.26
5226,2001-03-07,1,99.75
5250,2001-01-03,1,96.33
5261,2001-06-19,1,99.06
5321,2001-01-01,1,97.99
5334,2001-05-04,1,95.08
5379,2001-12-05,1,96.01
5387,2001-10-07,1,99.76
5390,2001-06-10,1,99.73
5412,2001-06-13,1,95.18
5425,2001-08-29,1,97.84
5428,2001-08-23,1,97.92
5431,2001-11-18,1,97.89
5436,2001-03-13,1,96.35
5440,2001-03-24,1,95.51
5443,2001-06-11,1,99.4
5467,2001-06-09,1,96.25
5475,2001-11-03,1,96.6
5477,2001-05-24,1,96.58
5486,2001-01-13,1,98.73
5501,2001-08-10,1,98.2
5517,2001-12-01,1,99.33
5547,2001-08-20,1,96.19
5551,2001-10-11,1,98.76
5562,2001-09-21,1,95.36
5574,2001-01-15,1,99.38
5601,2001-08-24,1,97.55
5644,2001-11-01,1,98.55
5703,2001-02-06,1,98.18
5710,2001-09-21,1,95.95
5732,2001-05-29,1,96.87
5742,2001-11-22,1,97.51
5759,2001-12-14,1,99.38
5761,2001-07-18,1,98.95
5766,2001-02-06,1,95.28
5768,2001-11-12,1,97.57
5797,2001-02-06,1,97.09
5818,2001-06-15,1,98.9
5819,2001-08-02,1,96.36
5830,2001-07-09,1,98.04
5875,2001-07-08,1,98.89
5876,2001-05-24,1,99.68
5900,2001-08-14,1,96.19
5913,2001-02-24,1,97.4
5922,2001-07-06,1,98.88
5937,2001-06-29,1,97.73
5997,2001-01-07,1,95.59
6001,2001-09-04,1,96.72
6037,2001-11-01,1,99.71
6051,2001-06-13,1,96.28
6096,2001-04-17,1,99.21
6098,2001-01-29,1,98.17
6212,2001-05-12,1,97.34
6225,2001-06-16,1,98.21
6228,2001-08-23,1,99.51
6240,2001-05-29,1,97.24
6262,2001-12-07,1,97.32
6298,2001-08-22,1,99.22
6303,2001-02-21,1,99.54
6328,2001-03-16,1,95.51
6347,2001-05-09,1,96.42
6372,2001-06-23,1,98.13
6398,2001-03-03,1,97.9
6399,2001-05-22,1,99.6
6423,2001-04-21,1,99.74
6536,2001-06-10,1,95.71
6541,2001-04-07,1,96.14
6556,2001-11-22,1,99.68
6562,2001-01-23,1,95.32
6579,2001-01-28,1,96.07
6580,2001-07-29,1,99.38
6607,2001-05-12,1,95.27
6650,2001-06-14,1,99.42
6693,2001-06-21,1,97.57
6717,2001-11-30,1,96.69
6725,2001-04-29,1,98.73
6740,2001-12-16,1,99.87
6747,2001-01-03,1,99.46
6763,2001-01-02,1,98.6
6801,2001-04-01,1,95.89
6823,2001-10-20,1,97.24
6845,2001-09-03,1,99.12
6887,2001-08-08,1,96.8
6893,2001-07-03,1,97.95
6897,2001-07-03,1,97.41
6904,2001-06-10,1,96.62
6927,2001-08-06,1,95.38
6933,2001-02-12,1,97.76
6981,2001-12-27,1,96.35
7012,2001-09-20,1,96.95
7031,2001-07-01,1,97.16
7041,2001-03-28,1,98.16
7062,2001-03-13,1,95.83
7064,2001-01-28,1,96.58
7089,2001-02-23,1,95.76
7104,2001-03-04,1,97.38
7119,2001-01-24,1,96.18
7129,2001-05-06,1,99.05
7142,2001-02-07,1,98.77
7147,2001-09-12,1,99.47
7209,2001-09-15,1,95.05
7275,2001-03-06,1,99.75
7338,2001-05-12,1,96.4
7354,2001-11-03,1,97.06
7371,2001-05-09,1,97.62
7385,2001-07-14,1,98.65
7393,2001-02-14,1,99.73
7408,2001-09-21,1,96.83
7414,2001-04-07,1,99.92
7424,2001-12-15,1,98.43
7527,2001-07-14,1,96.69
7553,2001-06-09,1,97.95
7589,2001-06-25,1,98.88
7600,2001-07-31,1,99.56
7653,2001-12-08,1,96.79
7705,2001-01-28,1,98.29
7768,2001-04-28,1,97.34
7822,2001-02-24,1,96.15
7832,2001-12-10,1,96.96
7866,2001-01-10,1,99.26
7927,2001-02-15,1,96.94
8017,2001-06-30,1,99.29
8019,2001-08-23,1,96.94
8025,2001-04-22,1,98.86
8038,2001-10-29,1,95.32
8062,2001-12-30,1,97.57
8075,2001-04-26,1,97.41
8088,2001-05-25,1,98.4
8092,2001-08-09,1,96.4
8168,2001-02-23,1,96.15
8213,2001-03-21,1,97.01
8240,2001-04-08,1,95.59
8248,2001-12-24,1,97.69
8282,2001-08-20,1,99.68
8336,2001-01-02,1,99.48
8357,2001-08-20,1,97.77
8358,2001-12-25,1,98.14
8402,2001-05-02,1,97.39
8419,2001-10-29,1,96.96
8443,2001-02-10,1,97.6
8448,2001-02-17,1,97.12
8511,2001-08-26,1,97.47
8554,2001-07-28,1,95.9
8569,2001-08-10,1,97.4
8621,2001-01-23,1,95.42
8634,2001-12-28,1,99.47
8638,2001-05-03,1,95.36
8653,2001-06-22,1,96.8
8688,2001-04-18,1,95.5
8693,2001-08-01,1,97.43
8712,2001-03-26,1,97.66
8715,2001-08-27,1,99.26
8720,2001-07-01,1,97.15
8729,2001-05-27,1,95.63
8752,2001-07-20,1,97.39
8826,2001-10-07,1,95.95
8839,2001-07-09,1,98.74
8857,2001-02-09,1,96.15
8909,2001-09-14,1,96.16
8920,2001-02-02,1,95.27
8932,2001-12-14,1,97.62
8936,2001-08-15,1,99.53
8992,2001-08-26,1,98.8
8993,2001-12-29,1,99.68
9006,2001-01-30,1,96.21
9007,2001-07-28,1,96.57
9030,2001-12-03,1,97.55
9088,2001-05-10,1,96.36
9095,2001-04-14,1,97.23
9111,2001-04-24,1,96.21
9120,2001-05-27,1,96.27
9142,2001-02-01,1,97.38
9157,2001-12-15,1,98.73
9179,2001-04-19,1,98.28
9225,2001-01-10,1,96.75
9256,2001-05-29,1,96.43
9261,2001-11-21,1,99.91
9291,2001-02-04,1,95.39
9313,2001-09-05,1,99.38
9325,2001-07-28,1,95.25
9328,2001-02-24,1,97.68
9341,2001-01-08,1,95.44
9362,2001-03-30,1,97.31
9386,2001-04-10,1,97.41
9396,2001-08-30,1,95.4
9404,2001-06-12,1,99.27
9438,2001-01-10,1,96.72
9484,2001-11-30,1,96.24
9515,2001-08-19,1,99.78
9540,2001-08-17,1,95.56
9569,2001-10-10,1,95.29
9615,2001-03-20,1,95.95
9620,2001-10-19,1,98.78
9623,2001-03-05,1,97.04
9642,2001-08-31,1,98.81
9644,2001-01-23,1,96.13
9679,2001-07-25,1,95.27
9683,2001-07-13,1,95.03
9690,2001-03-04,1,96.92
9715,2001-04-24,1,99.27
9728,2001-10-10,1,99.07
9791,2001-03-20,1,99.56
9800,2001-11-13,1,95.81
9807,2001-11-26,1,95.25
9812,2001-09-23,1,99.64
9817,2001-03-05,1,96.98
9828,2001-05-07,1,97.9
9831,2001-08-12,1,97.34
9846,2001-11-18,1,99.22
9869,2001-03-06,1,98.45
9880,2001-09-30,1,96.58
9889,2001-08-25,1,99.59
9902,2001-03-24,1,96.55
9910,2001-02-10,1,97.24
9931,2001-06-19,1,95.47
9968,2001-03-03,1,97.76
9969,2001-05-21,1,99.0
9996,2001-02-28,1,96.91
10005,2001-10-20,1,97.16
10035,2001-12-18,1,98.04
10044,2001-10-13,1,98.44
10056,2001-02-01,1,98.0
10072,2001-07-16,1,96.73
10081,2001-12-31,1,97.58
10096,2001-06-18,1,99.28
10112,2001-04-05,1,97.85
10163,2001-01-24,1,96.46
10195,2001-07-03,1,97.81
10196,2001-05-20,1,97.19
10223,2001-07-26,1,97.53
10224,2001-03-07,1,96.8
10231,2001-07-16,1,98.2
10240,2001-10-13,1,97.47
10271,2001-01-31,1,96.68
10275,2001-02-26,1,97.27
10326,2001-04-07,1,95.12
10327,2001-12-19,1,98.02
10355,2001-02-12,1,96.88
10374,2001-12-05,1,97.58
10377,2001-04-28,1,95.52
10388,2001-01-14,1,95.29
10418,2001-11-21,1,98.27
10422,2001-08-15,1,98.96
10436,2001-07-19,1,95.32
10440,2001-07-15,1,95.92
10451,2001-08-02,1,96.76
10454,2001-06-10,1,95.15
10464,2001-01-29,1,95.64
10508,2001-03-15,1,96.35
10510,2001-04-23,1,97.16
10515,2001-07-06,1,96.64
10517,2001-02-28,1,95.72
10525,2001-06-27,1,96.6
10526,2001-05-16,1,95.93
10531,2001-03-27,1,96.87
10539,2001-08-21,1,95.96
10567,2001-07-21,1,95.45
10569,2001-03-23,1,97.2
10610,2001-08-22,1,95.91
10654,2001-04-06,1,95.55
10660,2001-10-23,1,98.79
10665,2001-07-14,1,97.71
10668,2001-06-23,1,95.65
10673,2001-03-13,1,95.9
10705,2001-04-11,1,96.4
10732,2001-08-13,1,98.73
10746,2001-06-11,1,95.29
10749,2001-07-24,1,95.69
10770,2001-03-27,1,95.39
10776,2001-04-14,1,95.3
10793,2001-05-01,1,97.73
10795,2001-02-18,1,96.77
10855,2001-02-22,1,96.52
10879,2001-04-08,1,95.06
10901,2001-04-10,1,95.76
10902,2001-12-20,1,97.18
10932,2001-10-17,1,95.94
10939,2001-11-22,1,97.69
10978,2001-01-15,1,96.41
10985,2001-04-27,1,95.15
10988,2001-05-14,1,98.07
10991,2001-12-12,1,95.53
11004,2001-11-19,1,97.74
11021,2001-12-16,1,95.78
11039,2001-10-18,1,97.58
11089,2001-01-11,1,97.59
11105,2001-01-03,1,99.18
11117,2001-12-19,1,97.08
11119,2001-07-10,1,97.49
11125,2001-04-18,1,99.82
11167,2001-12-16,1,98.3
11186,2001-06-07,1,97.46
11187,2001-07-30,1,95.24
11202,2001-08-25,1,95.49
11207,2001-10-03,1,96.53
11211,2001-04-27,1,99.51
11216,2001-08-17,1,95.31
11230,2001-03-24,1,98.36
11260,2001-07-15,1,98.22
11273,2001-01-07,1,97.62
11320,2001-05-16,1,95.29
11342,2001-01-22,1,97.4
11410,2001-05-14,1,96.6
11426,2001-01-27,1,98.44
11443,2001-12-22,1,96.8
11457,2001-11-05,1,98.48
11475,2001-03-03,1,99.07
11479,2001-07-24,1,98.69
11522,2001-06-08,1,98.49
11540,2001-07-08,1,98.51
11564,2001-02-21,1,96.73
11579,2001-10-25,1,96.93
11693,2001-11-29,1,95.58
11749,2001-11-12,1,98.11
11785,2001-06-14,1,98.77
11786,2001-08-02,1,96.45
11793,2001-12-18,1,95.3
11800,2001-06-12,1,97.61
11811,2001-05-31,1,95.8
11821,2001-08-27,1,96.29
11836,2001-02-09,1,99.91
11846,2001-05-13,1,97.63
11848,2001-10-25,1,96.29
11874,2001-06-03,1,97.36
11877,2001-01-04,1,97.2
11888,2001-04-14,1,95.96
11900,2001-04-04,1,95.57
11903,2001-06-03,1,99.34
11910,2001-07-13,1,95.7
11927,2001-10-18,1,98.23
11942,2001-04-03,1,97.6
11974,2001-02-01,1,98.7
11992,2001-09-12,1,97.96
12027,2001-01-21,1,95.24
12030,2001-03-27,1,95.25
12034,2001-06-11,1,98.74
12073,2001-03-10,1,98.83
12078,2001-12-25,1,99.26
12096,2001-04-12,1,97.9
12098,2001-08-13,1,99.51
12103,2001-09-08,1,97.55
12107,2001-08-18,1,95.09
12109,2001-11-25,1,99.22
12122,2001-03-31,1,96.2
12145,2001-10-05,1,97.45
12152,2001-04-07,1,97.63
12162,2001-12-19,1,99.02
12166,2001-05-19,1,95.0
12210,2001-10-04,1,95.86
12257,2001-12-30,1,95.95
12270,2001-01-06,1,95.08
12280,2001-06-08,1,97.07
12294,2001-02-02,1,95.57
12311,2001-08-23,1,99.2
12319,2001-05-02,1,96.24
12364,2001-06-20,1,95.18
12409,2001-07-06,1,97.41
12418,2001-10-02,1,96.93
12424,2001-03-11,1,98.08
12445,2001-09-24,1,95.49
12483,2001-04-19,1,98.29
12516,2001-10-06,1,99.96
12522,2001-01-16,1,99.57
12550,2001-05-07,1,95.27
12552,2001-08-26,1,95.39
12571,2001-05-28,1,98.94
12585,2001-07-21,1,99.96
12592,2001-08-29,1,95.61
12612,2001-09-05,1,96.17
12613,2001-10-09,1,97.26
12638,2001-06-17,1,98.1
12652,2001-09-16,1,96.94
12665,2001-11-09,1,97.5
12674,2001-04-23,1,97.13
12679,2001-02-28,1,96.21
12689,2001-10-30,1,97.0
12700,2001-09-16,1,96.6
12702,2001-12-16,1,95.03
12709,2001-12-14,1,95.27
12745,2001-12-27,1,96.51
12806,2001-08-10,1,97.72
12815,2001-12-29,1,96.26
12817,2001-12-23,1,99.61
12826,2001-03-05,1,99.88
12893,2001-01-30,1,99.36
12911,2001-11-04,1,98.71
12913,2001-04-02,1,96.07
12932,2001-01-04,1,96.69
12934,2001-04-14,1,99.23
12947,2001-05-19,1,95.91
12953,2001-09-25,1,99.93
12954,2001-10-18,1,98.15
12959,2001-11-24,1,98.23
12982,2001-02-14,1,96.35
13030,2001-02-22,1,95.67
13095,2001-08-13,1,97.4
13120,2001-06-18,1,98.85
13136,2001-01-29,1,96.18
13137,2001-07-28,1,97.24
13156,2001-05-30,1,97.36
13163,2001-12-01,1,98.5
13189,2001-11-27,1,97.03
13191,2001-06-18,1,98.49
13212,2001-01-02,1,97.89
13243,2001-07-31,1,99.7
13284,2001-04-03,1,97.21
13297,2001-08-06,1,95.36
13318,2001-04-16,1,99.68
13328,2001-07-23,1,97.73
13336,2001-08-25,1,99.0
13340,2001-07-17,1,99.55
13342,2001-11-14,1,98.39
13386,2001-06-14,1,98.44
13388,2001-09-24,1,98.87
13396,2001-04-08,1,96.43
13429,2001-06-05,1,95.32
13438,2001-07-25,1,98.45
13446,2001-04-14,1,98.33
13457,2001-04-11,1,96.85
13469,2001-07-26,1,96.95
13472,2001-03-29,1,97.06
13477,2001-06-05,1,97.63
13479,2001-08-26,1,97.93
13483,2001-01-09,1,97.97
13488,2001-02-28,1,95.06
13491,2001-06-21,1,95.29
13499,2001-02-21,1,95.92
13500,2001-05-17,1,99.24
13547,2001-10-31,1,95.45
13551,2001-08-04,1,98.46
13564,2001-07-03,1,95.02
13584,2001-06-07,1,98.81
13587,2001-07-15,1,95.46
13588,2001-03-03,1,97.62
13589,2001-05-18,1,95.62
13598,2001-03-16,1,99.65
13636,2001-02-16,1,98.78
13645,2001-04-13,1,99.19
13685,2001-10-22,1,98.16
13694,2001-05-25,1,99.76
13695,2001-10-18,1,99.09
13746,2001-03-30,1,99.62
13756,2001-12-03,1,97.63
13772,2001-07-10,1,99.28
13797,2001-06-19,1,98.37
13800,2001-09-02,1,98.47
13806,2001-08-07,1,99.5
13809,2001-07-08,1,96.18
13849,2001-01-21,1,98.22
13853,2001-04-08,1,96.38
13859,2001-09-14,1,95.02
13897,2001-12-29,1,98.39
13902,2001-11-24,1,95.58
13919,2001-04-28,1,99.28
13985,2001-02-11,1,98.31
13993,2001-07-21,1,98.69
14035,2001-07-19,1,96.83
14044,2001-06-25,1,99.87
14047,2001-08-23,1,97.73
14067,2001-06-08,1,96.94
14089,2001-08-17,1,97.78
14110,2001-06-04,1,99.71
14178,2001-03-14,1,97.77
14198,2001-06-01,1,97.42
14212,2001-11-18,1,95.69
14216,2001-07-03,1,97.19
14224,2002-01-01,1,95.62
14257,2001-01-11,1,95.86
14289,2001-08-16,1,97.76
14301,2001-01-05,1,98.98
14311,2001-01-10,1,98.92
14372,2001-08-29,1,95.19
14380,2001-10-05,1,98.79
14414,2001-08-06,1,98.56
14435,2001-09-28,1,95.52
14480,2001-03-25,1,97.73
14501,2001-08-19,1,98.59
14518,2001-10-29,1,95.61
14535,2001-09-11,1,96.04
14608,2001-08-04,1,98.22
14620,2001-12-19,1,99.64
14634,2001-11-20,1,95.29
14654,2001-02-25,1,96.53
14655,2001-05-15,1,95.16
14688,2001-05-17,1,95.65
14747,2001-02-02,1,99.86
14761,2001-05-29,1,97.54
14765,2001-11-27,1,98.86
14770,2001-08-18,1,97.92
14779,2001-01-14,1,98.43
14814,2001-03-21,1,96.14
14817,2001-04-12,1,95.5
14821,2001-10-08,1,97.72
14822,2001-07-31,1,95.89
14893,2001-03-13,1,98.55
14895,2001-08-20,1,98.77
14897,2001-11-30,1,95.56
14916,2001-02-27,1,96.95
14917,2001-05-17,1,95.72
14937,2001-06-12,1,96.07
14962,2001-11-18,1,97.6
14971,2001-08-28,1,95.97
14979,2001-02-23,1,95.72
14986,2001-06-18,1,97.8
15067,2001-02-16,1,97.67
15069,2001-05-04,1,98.35
15075,2001-09-08,1,99.94
15077,2001-08-10,1,98.84
15124,2001-12-17,1,97.43
15132,2001-12-18,1,96.68
15167,2001-06-21,1,96.22
15191,2001-11-23,1,95.93
15199,2001-06-19,1,96.98
15298,2001-02-19,1,97.83
15315,2001-11-12,1,95.24
15335,2001-08-20,1,99.46
15361,2001-07-14,1,96.91
15387,2001-08-22,1,98.32
15409,2001-12-19,1,95.2
15414,2001-12-13,1,99.85
15426,2001-06-01,1,98.79
15464,2001-09-21,1,95.83
15502,2001-11-09,1,97.24
15504,2001-12-07,1,97.08
15548,2001-06-17,1,95.23
15550,2001-03-29,1,95.47
15554,2001-01-27,1,97.71
15589,2001-10-18,1,97.81
15605,2001-08-23,1,99.68
15621,2001-12-22,1,98.67
15628,2001-09-25,1,95.7
15646,2001-04-05,1,97.01
15661,2001-04-24,1,96.79
15672,2001-02-18,1,95.67
15675,2001-06-30,1,99.47
15682,2001-07-16,1,97.24
15693,2001-02-03,1,96.35
15698,2001-04-09,1,96.13
15739,2001-09-07,1,98.65
15746,2001-11-11,1,95.18
15766,2001-03-05,1,97.86
15785,2001-04-09,1,98.46
15800,2001-06-10,1,96.94
15811,2001-10-30,1,96.25
15820,2001-02-15,1,95.23
15827,2001-10-12,1,97.12
15830,2001-11-25,1,98.75
15836,2001-11-04,1,96.71
15856,2001-01-25,1,96.91
15886,2001-10-04,1,97.57
15914,2001-04-07,1,98.02
15926,2001-02-02,1,99.1
15934,2001-07-14,1,98.18
15982,2001-12-31,1,96.11
15994,2001-02-27,1,96.71
16043,2001-12-23,1,95.83
16065,2001-08-10,1,97.81
16104,2001-09-29,1,99.06
16123,2001-04-04,1,98.02
16138,2001-11-30,1,96.64
16190,2001-09-29,1,95.59
16231,2001-03-24,1,98.11
16310,2001-02-25,1,98.24
16326,2001-03-01,1,99.33
16365,2001-05-05,1,97.85
16390,2001-03-21,1,99.79
16404,2001-08-31,1,98.92
16445,2001-02-25,1,95.61
16475,2001-12-22,1,95.57
16490,2001-11-11,1,97.49
16534,2001-07-10,1,98.1
16542,2001-01-22,1,95.56
16576,2001-12-14,1,99.88
16665,2001-09-21,1,98.87
16675,2001-06-01,1,96.95
16679,2001-01-13,1,97.05
16688,2001-09-08,1,99.03
16736,2001-11-03,1,96.05
16760,2001-03-31,1,96.92
16764,2001-07-03,1,99.84
16774,2001-07-25,1,98.65
16806,2001-03-13,1,99.55
16807,2001-05-24,1,97.23
16820,2001-07-03,1,95.05
16849,2001-10-25,1,96.23
16850,2001-05-16,1,96.67
16901,2001-06-13,1,95.15
16908,2001-02-06,1,97.25
16912,2001-09-09,1,98.17
16938,2001-09-12,1,97.31
16939,2001-10-10,1,95.62
16963,2001-10-21,1,99.34
16974,2001-09-28,1,98.18
16982,2001-03-29,1,97.73
16985,2001-05-12,1,99.47
17015,2001-01-10,1,99.07
17026,2001-02-10,1,96.28
17106,2001-07-23,1,99.88
17131,2001-05-20,1,98.58
17132,2001-10-14,1,96.68
17143,2001-04-30,1,96.98
17150,2001-04-10,1,96.15
17164,2001-05-05,1,99.56
17167,2001-09-23,1,97.84
17171,2001-03-31,1,95.98
17184,2001-09-04,1,99.08
17215,2001-11-06,1,96.72
17237,2001-10-21,1,97.14
17245,2001-01-07,1,95.41
17258,2001-05-09,1,98.63
17290,2001-11-03,1,95.37
17299,2001-03-15,1,96.47
17314,2001-07-04,1,98.6
17321,2001-05-03,1,99.6
17329,2001-04-18,1,99.56
17342,2001-03-24,1,99.64
17349,2001-01-08,1,98.5
17414,2001-09-23,1,99.17
17436,2001-01-22,1,98.88
17438,2001-02-17,1,97.84
17473,2001-02-14,1,98.52
17492,2001-03-27,1,96.66
17511,2001-11-24,1,97.88
17532,2001-09-29,1,99.37
17546,2001-07-23,1,99.47
17567,2001-03-29,1,98.32
